"city","latitude","longitude","REG","Libellé","Code","Taux_de_chomage","Taux_bacdeux","Taux_cadres_profs","Taux_activite","Densité","Taux_hlm","Taux_pauvreté","Salaire_mensuel","Densite_cat","LIBELLE","Nom_region","Groupe_region","log_salaire_pred","salaire_pred","residu","erreur_pct","erreur_euro"
"Saint-Claude",46.408600398,5.87556247635,27,"Saint-Claude",2716,6.3,12.5,10.8,78.1,"43,9",11.6,10.8,2421,"Très faible","Bourgogne-Franche-Comté","Bourgogne-Franche-Comté","Autres régions",7.75391205049985,2330.67231115799,0.0380239064382029,3.87560655393586,90.3276888420078
"Saint-Dié-des-Vosges",48.2967093514,6.93809367547,44,"Saint-Dié-des-Vosges",4417,9.8,9.5,10,73.5,"66,9",11.1,16.9,2270,"Faible","Grand Est","Grand Est","Autres régions",7.75335891397334,2329.3834876519,-0.0258238034978942,-2.54932208314744,-59.3834876518999
"Saint-Étienne",45.4301235512,4.37913997076,84,"Saint-Étienne",8428,8.2,11.2,15.2,73.4,"290,8",16.9,16.8,2489,"Forte","Auvergne-Rhône-Alpes","Auvergne-Rhône-Alpes","Auvergne-Rhône-Alpes",7.80016535525414,2441.00557735251,0.0194709471134499,1.96617423134049,47.994422647489
"Saint-Flour",45.0278919825,3.08320563232,84,"Saint-Flour",8429,3.9,9.8,7.1,78.7,"15,4",4.9,15.7,2062,"Très faible","Auvergne-Rhône-Alpes","Auvergne-Rhône-Alpes","Auvergne-Rhône-Alpes",7.68898930810329,2184.16592748765,-0.0575576435263856,-5.5932530560153,-122.165927487648
"Saint-Gaudens",43.1199260811,0.726613564199,76,"Saint-Gaudens",7622,6.5,10.7,11,74.9,"30,4",3.4,18.7,2202,"Très faible","Occitanie","Occitanie","Occitanie",7.69232043028522,2191.4537826867,0.00480088699740636,0.481242971976648,10.546217313296
"Saint-Junien",45.9024520048,0.887855844778,75,"Saint-Junien",7527,6,8.3,8.7,73.7,"26,8",5.8,18.4,2256,"Très faible","Nouvelle-Aquitaine","Nouvelle-Aquitaine","Nouvelle-Aquitaine",7.66353766944185,2129.27679767558,0.057810943176094,5.95146682961838,126.723202324422
"Saint-Lô",49.1099624249,-1.07755642702,28,"Saint-Lô",2816,4.9,10.6,10.5,76.6,"72,8",16.4,12.3,2280,"Faible","Normandie","Normandie","Autres régions",7.75787708598041,2339.93185464336,-0.0259463640319313,-2.56126495839751,-59.9318546433615
"Saint-Louis",48.710897697,7.1949734352,4,"Saint-Louis",4418,5.9,10.9,15.2,79.6,"181,9",8.3,9,2648,"Forte","La Réunion","La Réunion","La Réunion",7.8815599170569,2648,-1.77809156287623e-17,1.55431223447522e-13,4.09272615797818e-12
"Saint-Louis",48.710897697,7.1949734352,44,"Saint-Louis",4418,5.9,10.9,15.2,79.6,"181,9",8.3,9,2648,"Forte","Grand Est","Grand Est","Autres régions",7.83908039924471,2537.86993329575,0.042479517812183,4.33946851489069,110.130066704246
"Saint-Louis",48.710897697,7.1949734352,1,"Saint-Louis",4418,5.9,10.9,15.2,79.6,"181,9",8.3,9,2648,"Forte","Guadeloupe","Guadeloupe","Guadeloupe",7.8815599170569,2648,-4.7271214720368e-17,1.55431223447522e-13,4.09272615797818e-12
"Saint-Louis",48.710897697,7.1949734352,44,"Saint-Louis",4418,5.9,10.9,15.2,79.6,"181,9",8.3,9,2648,"Forte","Grand Est","Grand Est","Autres régions",7.83908039924471,2537.86993329575,0.042479517812183,4.33946851489069,110.130066704246
"Saint-Malo",48.6400443482,-1.98060627256,53,"Saint-Malo",5317,5.8,11.5,12.9,76.2,"186",13.5,10.3,2296,"Forte","Bretagne","Bretagne","Bretagne",7.75992861938239,2344.73723051065,-0.0210048619429314,-2.07857963256881,-48.7372305106524
"Saint-Nazaire",44.2000873648,4.62191805958,76,"Saint-Nazaire",5219,5.8,12.7,14.4,76.7,"232,4",11.7,10.5,2472,"Forte","Occitanie","Occitanie","Occitanie",7.78418140224629,2402.29882644104,0.0286014163312894,2.90143644045404,69.7011735589604
"Saint-Nazaire",44.2000873648,4.62191805958,52,"Saint-Nazaire",5219,5.8,12.7,14.4,76.7,"232,4",11.7,10.5,2472,"Forte","Pays de la Loire","Pays de la Loire","Autres régions",7.76599938327668,2359.01487087387,0.046783435300893,4.78950474289634,112.985129126134
"Saint-Nazaire",44.2000873648,4.62191805958,76,"Saint-Nazaire",5219,5.8,12.7,14.4,76.7,"232,4",11.7,10.5,2472,"Forte","Occitanie","Occitanie","Occitanie",7.78418140224629,2402.29882644104,0.0286014163312894,2.90143644045404,69.7011735589604
"Saint-Omer",48.9283510669,-0.443691657906,28,"Saint-Omer",3219,7.7,11.4,9.6,73.4,"153,3",10.9,15.8,2248,"Intermédiaire","Normandie","Normandie","Autres régions",7.71411907564273,2239.74897904389,0.00367713537084476,0.36839043273631,8.25102095610691
"Saint-Omer",48.9283510669,-0.443691657906,32,"Saint-Omer",3219,7.7,11.4,9.6,73.4,"153,3",10.9,15.8,2248,"Intermédiaire","Hauts-de-France","Hauts-de-France","Autres régions",7.71732711701795,2246.94572399443,0.000469093995626351,0.0469204037424342,1.05427600557141
"Saint-Quentin",49.8472336321,3.27769499462,32,"Saint-Quentin",3220,11.3,9.1,10,72.2,"94,5",14.2,20.3,2315,"Intermédiaire","Hauts-de-France","Hauts-de-France","Autres régions",7.72862608001976,2272.47785225049,0.0185388865005736,1.87117985362983,42.5221477495111
"Sainte-Maxime",43.3564730986,6.61172790208,93,"Sainte-Maxime",9317,7.7,10.3,11.1,76.9,"134,7",8,15.6,2438,"Intermédiaire","Provence-Alpes-Côte d'Azur","Provence-Alpes-Côte d'Azur","Autres régions",7.75027820664911,2322.21838134515,0.048655103392101,4.98581957601156,115.781618654846
"Saintes",45.7422300162,-0.649623035643,75,"Saintes",7528,7,10.6,11,75.8,"67,6",5.1,13.8,2170,"Faible","Nouvelle-Aquitaine","Nouvelle-Aquitaine","Nouvelle-Aquitaine",7.7152464349048,2242.27540462718,-0.0327639883702925,-3.22330631099227,-72.2754046271752
"Sarlat-la-Canéda",44.8983558068,1.2066486429,75,"Sarlat-la-Canéda",7529,6.9,10.6,10.1,75.4,"34,1",4.1,18.2,2037,"Très faible","Nouvelle-Aquitaine","Nouvelle-Aquitaine","Nouvelle-Aquitaine",7.68118842548024,2167.19379035102,-0.0619550092534393,-6.00748262248989,-130.193790351017
"Sarrebourg",48.7379661581,7.04683266422,44,"Sarrebourg",4419,5.5,10.7,12.2,75.2,"54,5",3.3,12.1,2367,"Faible","Grand Est","Grand Est","Autres régions",7.76032315909204,2345.66250497354,0.00905545042194349,0.9096575053408,21.337495026457
"Sarreguemines",49.1088144102,7.06943100683,44,"Sarreguemines",4420,6.8,9.9,10.8,75.1,"88",4.5,13,2410,"Intermédiaire","Grand Est","Grand Est","Autres régions",7.76546683757626,2357.75892210189,0.0219151889084384,2.21570905355932,52.2410778981143
"Saumur",47.2673853525,-0.0830410591988,52,"Saumur",5220,7.4,9.9,10.5,76.6,"79,6",14,13.8,2149,"Faible","Pays de la Loire","Pays de la Loire","Autres régions",7.73856860403997,2295.1847125794,-0.0658107073974657,-6.369191628813,-146.184712579403
"Sedan",49.697058875,4.9298505244,44,"Sedan",4421,9,9,8.8,73.1,"34,3",14.2,19.7,2315,"Très faible","Grand Est","Grand Est","Autres régions",7.73258336940255,2281.48852188245,0.0145815971177775,1.46884272246532,33.5114781175521
"Segré-en-Anjou Bleu",47.7016654227,-0.863354104119,52,"Segré-en-Anjou Bleu",5221,5.8,10.4,9.3,78.4,"54,6",12.8,11.8,2258,"Faible","Pays de la Loire","Pays de la Loire","Autres régions",7.73678166454809,2291.08701863127,-0.0145469198384832,-1.44416245922606,-33.0870186312745
"Sélestat",48.2481136279,7.46224896454,44,"Sélestat",4422,4.9,12.7,14,78.9,"136",5.9,9.1,2561,"Intermédiaire","Grand Est","Grand Est","Autres régions",7.81727247092319,2483.12337195038,0.0308806152763314,3.13623676251147,77.876628049622
