Code postal;Commune;temps_A_min;distance_A_km;temps_B_min;distance_B_km
35149;LASSY;95.1;158.4;92.8;158.0
53128;LAUBRIERES;48.1;64.6;42.6;55.3
53130;LAVAL;53.6;84.3;48.5;75.0
54304;LAXOU;361.1;727.7;353.9;718.0
17051;LE BOIS PLAGE EN RE;172.8;272.4;167.3;265.6
27099;LE BOULAY MORIN;175.5;336.5;173.2;336.1
35091;LE CROUAIS;26.3;38.1;31.4;44.6
35111;LE FERRE;42.3;64.6;40.0;64.2
76351;LE HAVRE;150.7;281.2;150.0;281.1
22082;LE HINGLE;40.2;57.4;45.3;64.0
94043;LE KREMLIN BICETRE;179.1;349.7;171.9;340.1
35157;LE LOROUX;47.9;68.4;45.5;67.9
72181;LE MANS;93.1;162.4;85.6;152.8
44120;LE PELLERIN;81.6;131.3;77.8;124.8
35217;LE PERTRE;45.5;65.8;38.3;56.2
35218;LE PETIT FOUGERAY;26.5;32.8;21.0;26.0
95491;LE PLESSIS BOUCHARD;204.4;372.6;196.9;362.9
27464;LE PLESSIS GROHAN;181.5;353.7;180.5;353.6
78502;LE PORT MARLY;186.2;346.9;179.0;337.3
22263;LE QUIOU;35.7;44.7;39.8;51.8
29235;LE RELECQ KERHUON;138.9;238.8;145.0;245.7
35240;LE RHEU;12.3;12.8;16.2;14.1
35322;LE SEL DE BRETAGNE;26.3;34.3;20.8;27.5
56246;LE SOURN;71.9;112.7;77.1;119.2
35333;LE THEIL DE BRETAGNE;27.2;39.3;21.5;30.0
62826;LE TOUQUET PARIS PLAGE;246.1;478.9;243.8;478.4
56252;LE TOUR DU PARC;80.7;127.9;85.1;132.6
35362;LE TRONCHET;98.7;176.4;91.5;166.7
35351;LE VERGER;17.8;21.6;22.2;26.3
22387;LE VIEUX MARCHE;95.8;159.0;101.7;165.9
35150;LECOUSSE;35.0;53.6;33.9;53.6
35046;LES BRULAIS;41.3;54.9;38.0;50.6
22035;LES CHAMPS GERAUX;33.0;50.1;38.4;57.5
78165;LES CLAYES SOUS BOIS;183.7;340.9;176.5;331.3
56060;LES FOUGERETS;51.8;69.3;52.1;69.9
35134;LES IFFS;24.9;30.1;29.0;37.2
50274;LES LOGES MARCHIS;57.8;83.6;55.5;83.2
78440;LES MUREAUX;193.5;362.5;186.3;352.8
92044;LEVALLOIS PERRET;188.4;357.7;183.4;348.4
35151;LIEURON;33.0;42.5;31.6;42.6
35152;LIFFRE;21.4;24.0;19.0;23.6
59350;LILLE;294.6;575.2;292.3;574.7
78335;LIMAY;187.4;373.0;186.7;372.9
87085;LIMOGES;272.4;440.4;273.3;479.5
14365;LION SUR MER;111.4;202.2;109.1;201.7
35154;LIVRE SUR CHANGEON;30.6;41.1;28.2;40.6
29135;LOCTUDY;142.0;239.0;146.4;243.7
29137;LOGONNA DAOULAS;138.4;223.5;144.3;230.4
35155;LOHEAC;27.6;37.8;26.2;38.0
53137;LOIRON RUILLE;44.7;67.4;37.5;57.8
45185;LOMBREUIL;220.8;408.7;213.5;399.0
59356;LOMPRET;301.5;587.2;300.6;587.1
35156;LONGAULNAY;27.1;36.2;31.7;43.6
59359;LOON PLAGE;282.9;559.2;281.6;559.1
29140;LOPERHET;134.8;222.2;140.5;229.1
56121;LORIENT;92.0;152.4;96.4;157.1
22133;LOSCOUET SUR MEU;31.5;46.8;36.6;53.4
22136;LOUDEAC;55.7;87.7;60.9;94.2
35159;LOURMAIS;35.8;46.2;40.3;53.6
53140;LOUVERNE;51.6;85.3;46.5;76.0
27375;LOUVIERS;165.5;322.0;162.4;321.5
35161;LOUVIGNE DE BAIS;32.6;46.6;25.4;36.9
35162;LOUVIGNE DU DESERT;49.3;75.4;48.3;75.3
56122;LOYAT;48.4;69.4;53.5;75.9
28220;LUISANT;137.8;265.4;130.3;255.7
69384;LYON 04;422.2;841.8;415.0;832.1
69385;LYON 05;422.1;841.7;414.9;832.1
70321;MAGNY VERNOIS;387.2;709.9;379.5;700.3
57431;MAIZEROY;351.2;695.2;343.9;685.6
56123;MALANSAC;62.4;84.1;61.1;84.3
84070;MALEMORT DU COMTAT;502.3;979.0;497.3;969.7
25364;MAMIROLLE;367.2;735.9;359.2;726.2
50288;MARCEY LES GREVES;50.5;88.4;48.2;87.9
35164;MARCILLE RAOUL;38.0;45.2;38.9;49.3
35165;MARCILLE ROBERT;36.3;47.6;29.0;38.0
69281;MARENNES;190.1;306.2;186.2;299.7
78372;MARLY LE ROI;180.8;343.5;175.6;334.2
35166;MARPIRE;31.3;38.0;24.1;28.3
13207;MARSEILLE 07;284.5;556.0;282.6;556.6
35167;MARTIGNE FERCHAUD;34.5;52.2;29.1;43.0
44092;MASSERAC;46.3;63.1;44.9;63.3
22143;MATIGNON;70.2;104.9;71.7;100.2
49244;MAUGES SUR LOIRE;95.1;126.2;87.7;116.5
78383;MAUREPAS;256.2;497.7;253.8;497.3
56127;MAURON;37.5;55.3;42.6;61.8
35169;MAXENT;208.3;409.6;206.0;409.2
53147;MAYENNE;68.4;109.1;63.3;99.8
35170;MECE;34.1;44.5;31.8;44.0
35171;MEDREAC;27.5;37.6;33.1;44.5
22145;MEGRIT;39.3;58.4;44.9;65.3
35172;MEILLAC;33.4;43.2;38.0;50.6
35173;MELESSE;15.2;14.9;20.6;22.3
29146;MELGVEN;112.3;189.0;115.4;193.4
56129;MENEAC;43.2;67.2;49.0;74.1
22147;MERDRIGNAC;37.1;59.2;42.3;65.7
35175;MERNEL;34.8;45.9;33.4;46.1
