FE.ADEME.ID;FE.BDD;FE.VAL;FE.UNITE;FE.Incertitude;FE.LIB1;FE.LIB2;FE.LIB3;FE.LIB4;FE.LIB5;FE.CAT1;FE.CAT2;FE.CAT3;FE.CAT4;FE.CAT5;FE.DATE-CREA;FE.DATE-MODIF;FE.DATE-VALID;FE.TYPE
43036;Base Carbone V23.7;1,02;kgCO2e/kg;0,3;;1,2-dibromoethane;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;23/08/2023;23/08/2023;2026;QTE
43037;Base Carbone V23.7;1,3;kgCO2e/kg;0,3;;1,2-dichloroethane;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;23/08/2023;23/08/2023;2026;QTE
43038;Base Carbone V23.7;45,1;kgCO2e/kg;0,3;;1,3,3,4,4,5,5- heptafluorocyclopentene;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;23/08/2023;23/08/2023;2026;QTE
43039;Base Carbone V23.7;92,4;kgCO2e/kg;0,3;;1,3,3,4,4-pentafluorocyclobutene;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;23/08/2023;23/08/2023;2026;QTE
43040;Base Carbone V23.7;0,05;kgCO2e/kg;0,3;;1-bromopropane;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;23/08/2023;24/04/2025;2026;QTE
43601;Base Carbone V23.7;0,052;kgCO2e/kg;0,3;;1-bromopropane;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;24/04/2025;24/04/2025;2026;QTE
43041;Base Carbone V23.7;0;kgCO2e/kg;0,3;;1-chloro-2-ethenoxyethane;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;23/08/2023;23/08/2023;2026;QTE
43042;Base Carbone V23.7;0,01;kgCO2e/kg;0,3;;1-chlorobutane;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;23/08/2023;24/04/2025;2026;QTE
43599;Base Carbone V23.7;0,007;kgCO2e/kg;0,3;;1-chlorobutane;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;24/04/2025;24/04/2025;2026;QTE
43043;Base Carbone V23.7;26,4;kgCO2e/kg;0,3;;1-ethoxy-1,1,2,3,3,3- hexafluoropropane;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;23/08/2023;23/08/2023;2026;QTE
43044;Base Carbone V23.7;35,7;kgCO2e/kg;0,3;;2,2,2-trifluoroethanol;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;23/08/2023;23/08/2023;2026;QTE
43045;Base Carbone V23.7;54,8;kgCO2e/kg;0,3;;2,2,2-trifluoroethyl formate;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;23/08/2023;23/08/2023;2026;QTE
43046;Base Carbone V23.7;34,3;kgCO2e/kg;0,3;;2,2,3,3,3-pentafluoropropan-1-ol;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;23/08/2023;23/08/2023;2026;QTE
43047;Base Carbone V23.7;36,5;kgCO2e/kg;0,3;;2,2,3,3,4,4,4-heptafluorobutan- 1-ol;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;23/08/2023;23/08/2023;2026;QTE
43048;Base Carbone V23.7;13,6;kgCO2e/kg;0,3;;2,2,3,3,4,4,5,5- octafluorocyclopentan-1-ol;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;23/08/2023;23/08/2023;2026;QTE
43049;Base Carbone V23.7;14,4;kgCO2e/kg;0,3;;2,2,3,3-tetrafluoropropan-1-ol;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;23/08/2023;23/08/2023;2026;QTE
43050;Base Carbone V23.7;30,5;kgCO2e/kg;0,3;;2,2,3,4,4,4-hexafluorobutan-1-ol;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;23/08/2023;23/08/2023;2026;QTE
43051;Base Carbone V23.7;6,18;kgCO2e/kg;0,3;;2,2-difluoroethanol;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;23/08/2023;23/08/2023;2026;QTE
43052;Base Carbone V23.7;0,13;kgCO2e/kg;0,3;;2-bromopropane;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;23/08/2023;24/04/2025;2026;QTE
43602;Base Carbone V23.7;0,126;kgCO2e/kg;0,3;;2-bromopropane;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;24/04/2025;24/04/2025;2026;QTE
43053;Base Carbone V23.7;136;kgCO2e/kg;0,3;;2-chloro-1,1,2-trifluoro-1- methoxyethane;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;23/08/2023;23/08/2023;2026;QTE
43054;Base Carbone V23.7;0,18;kgCO2e/kg;0,3;;2-chloropropane;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;23/08/2023;24/04/2025;2026;QTE
43598;Base Carbone V23.7;0,181;kgCO2e/kg;0,3;;2-chloropropane;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;24/04/2025;24/04/2025;2026;QTE
43055;Base Carbone V23.7;48,7;kgCO2e/kg;0,3;;2-ethoxy-3,3,4,4,5- pentafluorotetrahydro-2,5- bis[1,2,2,2-tetrafluoro-1- (trifluoromethyl)ethyl]-fu;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;23/08/2023;23/08/2023;2026;QTE
43056;Base Carbone V23.7;0,53;kgCO2e/kg;0,3;;2-fluoroethanol;;PRG à 100 ans;Monde;Process et émissions fugitives;PRG à 100 ans issus du 6eme rapport du GIEC;Autres Gaz divers;;;23/08/2023;23/08/2023;2026;QTE
